Job_title,Company,Location,Experience,Key_skills,Job_post,Rating
Data Engineer - SAP BW/4HANA,Sadup Soft,Remote,5-10 Yrs,"Data Engineering, AMDPs, SAP Integration, SAP Implementation, Data Analytics, SAP BW/4HANA, SQL, Engineering",1 week ago,4.4
S&CGN - Tech Strategy & Advisory - Data on Cloud - Analyst,Accenture,Bengaluru,6-10 Yrs,"cloud, management consulting, snowflake, data analytics, ai, artificial intelligence, change management, data modeling",1 week ago,3.7
"Program Manager - Data Scientist, Sensory and Consumer Experience",Pepsico,Hyderabad,6-9 Yrs,"data scientist, data analytics, data analysis, user stories, research, analytics, data quality, project manager",1 week ago,4.1
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, python, data analytics, data pipelines, databricks, data warehousing, cloud platforms, sql server",1 week ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, python, data analytics, data pipelines, databricks, data warehousing, cloud platforms, data engineering",1 week ago,3.7
Data Engineer,NTT DATA,Bengaluru,5-7 Yrs,"server, python, data analytics, sap, microsoft azure, data migration, azure data factory, analysis",1 week ago,3.8
Data Scientist,NTT DATA,Hyderabad,5-8 Yrs,"python, data analytics, data analysis, natural language processing, data mining, methods, data architecture, machine learning",1 week ago,3.8
Data Engineer,NTT DATA,Hyderabad,5-8 Yrs,"server, sap, data analytics, data, data mining, microsoft azure, azure data factory, data architecture",1 week ago,3.8
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, python, data services, data analytics, data pipelines, scala, databricks, microsoft azure",1 week ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, data services, data analytics, data pipelines, databricks, microsoft azure, data engineering, database design",1 week ago,3.7
Data Analyst,CIMET,Jaipur,2-7 Yrs,"Power Bi, Data Analysis, Data Management, Tableau, Data Analytics, Data Reporting, Management, Analytics",1 week ago,3.7
Data Analyst,Genpact,Hyderabad,5-7 Yrs,"People Analytics, Power Bi, Customer Analytics, Data Analytics, SQL, Data Analysis, Analytics, Analysis",1 week ago,3.6
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, python, etl tools, data analytics, data management, data pipelines, scala, storage solutions",2 weeks ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, data services, data analytics, data pipelines, ai frameworks, ai, databricks, microsoft azure",2 weeks ago,3.7
Data Engineer,Accenture,Bengaluru,3-8 Yrs,"data engineer, data analytics, data pipelines, ai frameworks, ai, databricks, collection, analytics",2 weeks ago,3.7
Data Engineer,Accenture,Bengaluru,3-8 Yrs,"data engineer, python, etl tools, data analytics, data pipelines, scala, data processing, databricks",2 weeks ago,3.7
Data Engineer,Accenture,Chennai,3-8 Yrs,"data engineer, python, data analytics, data pipelines, scala, data processing, databricks, cloud platforms",2 weeks ago,3.7
Data Engineer,Accenture,Chennai,3-8 Yrs,"data engineer, css, python, data analytics, data pipelines, scala, data processing, databricks",2 weeks ago,3.7
Data Analyst,Coforge,Noida,6-10 Yrs,"Postgresql, Snowflake, Python, Data Analytics, ETL, SQL, Analytics, Data analysis",1 week ago,3.2
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, python, data analytics, data pipelines, databricks, data warehousing, cloud platforms, sql server",1 week ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, python, data analytics, data pipelines, databricks, data warehousing, cloud platforms, data engineering",1 week ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, python, data analytics, data pipelines, databricks, data warehousing, cloud platforms, data engineering",1 week ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, python, data analytics, data pipelines, databricks, data warehousing, cloud platforms, ATCI-5319549-S1938539",1 week ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, python, data analytics, data pipelines, databricks, data warehousing, cloud platforms, sql server",1 week ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, python, data services, data analytics, data pipelines, scala, databricks, microsoft azure",1 week ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, data services, data analytics, data pipelines, databricks, microsoft azure, data warehousing, pyspark",1 week ago,3.7
Data Engineer,Accenture,Bengaluru,3-8 Yrs,"data engineer, python, data analytics, data pipelines, scala, data processing, ATCI-5230534-S1920818, databricks",2 weeks ago,3.7
Data Engineer,Accenture,Bengaluru,3-8 Yrs,"data engineer, python, data analytics, data pipelines, scala, data processing, ATCI-5230528-S1920837, databricks",2 weeks ago,3.7
Data Engineer,Accenture,Bengaluru,3-8 Yrs,"data engineer, python, data analytics, data pipelines, scala, data processing, databricks, cloud platforms",2 weeks ago,3.7
Data Engineer,Accenture,Bengaluru,3-8 Yrs,"data engineer, python, data analytics, data pipelines, scala, data processing, databricks, cloud platforms",2 weeks ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, sql, redshift, spark, gcp, devops, debugging, json",2 weeks ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, data services, data analytics, data pipelines, ai frameworks, ai, databricks, microsoft azure",2 weeks ago,3.7
Data Analyst,Cindrebay School Of Fashion & Interior Design,"Kochi, Kolkata, Kannur, Indore, Nagpur, Hyderabad, Pune, Lucknow, Kozhikode, Coimbatore, Bengaluru, Thiruvananthapuram",1-4 Yrs,"database maintenance, python, data analytics, data analysis, design development, information management, mathematics, data mining",3+ weeks ago,3.7
Data Analyst (Python),KPMG Assurance and Consulting Services LLP,"Pune, Gurugram, Bengaluru",6-11 Yrs,"Pyspark, python, Credit Risk, Spark, SQL, Credit Risk Management, Data Analytics, ETL",2 weeks ago,3.4
Architect - Data Engineering,Microland,Bengaluru,11-16 Yrs,"Data analysis, Analytical, Presales, Data processing, Data quality, Predictive modeling, Data analytics, microsoft",3+ weeks ago,3.5
Google Data Engineer,Tata Consultancy Services,"Kolkata, Pune, Mumbai (All Areas)",7-10 Yrs,"Data Pipeline, Data Analytics, Data Integration, Integration, Analytics, Google, Data, Data Engineering",3+ weeks ago,3.3
Data Analyst with Hadoop,Asky Services Llp,"Hyderabad, Pune, Gurugram, Bengaluru",5-7 Yrs,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",3+ weeks ago,5.0
Data Verification Analyst,Foundation Ai,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-5 Yrs,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",3+ weeks ago,3.5
Data Analyst,Caliche,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",3+ weeks ago,1.7
Data Engineer,Biz-metric India,"Mumbai, Gurugram, Bengaluru",2-4 Yrs,"Automation, Web technologies, Artificial Intelligence, Machine learning, Cloud, Infrastructure, Data analytics, Technology solutions",3+ weeks ago,3.4
Data Engineer,Evnek,"Chennai, Delhi / NCR, Bengaluru",5-10 Yrs,"Data Engineering, Big Query, Power BI, blockchain analytics, DynamoDB, Data analytics, Tableau, ELT",3 weeks ago,4.3
Data Analyst - Invoice 360,Mostedge,Hyderabad,1-3 Yrs,"Power BI, Advanced MS Excel, Tableau, Data Analytics, python, data analysis, data validation, mathematics",3 weeks ago,3.1
Data Engineer,Accenture,Hyderabad,3-8 Yrs,"data engineer, data operations, python, etl tools, data analytics, data pipelines, scala, databricks",3+ weeks ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, python, data analytics, data management, data pipelines, big data technologies, data warehousing, visualization tools",3+ weeks ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, python, data analytics, data pipelines, big data technologies, data warehousing, cloud platforms, machine learning",3+ weeks ago,3.7
Data Engineer - SAP BW/4HANA,Sadup Soft,Agra,5-10 Yrs,"Data Engineering, AMDPs, SAP Integration, SAP Implementation, Data Analytics, SAP BW/4HANA, SQL, SAP",3+ weeks ago,4.4
Data Analyst,Tata Consultancy Services,Indi,5-10 Yrs,"Data Analysis, Data Analytics, Power Bi, Tableau, Analysis, Analytics, Data, Bi",3+ weeks ago,3.3
Data Analyst,Primo Tech,Mohali,1-3 Yrs,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",3+ weeks ago,4.4
GTM Data Analyst,Han Digital Solution,Hyderabad,4-9 Yrs,"operational support, tableau, Coding, sales enablement, Data analytics, data visualization, JIRA, Downstream",3+ weeks ago,2.6
Sustainability Data Analyst,Oil Field Instrumentation,Bengaluru,3-5 Yrs,"GIS, Analytical, Data collection, Data quality, Data analytics, data visualization, Econometrics, Operations",3+ weeks ago,3.3
Data Analyst,Disc Technology Services,"Mumbai, Hyderabad, New Delhi, Chennai, Bengaluru",3-5 Yrs,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",3+ weeks ago,4.7
Data Scientist SLM/LLM,Han Digital Solution,"Hubli, Mangaluru, Mysuru, Bengaluru, Belgaum",1-2 Yrs,"python, data analysis, data analytics, natural language processing, predictive analytics, training, machine learning, sql",3+ weeks ago,2.6
Data Analyst,Han Digital Solution,"Vijayawada, Visakhapatnam, Guntur, Nellore",1-2 Yrs,"SAP, Trend analysis, power bi, Data analytics, Data Analyst, Budgeting, Vendor, Forecasting",3+ weeks ago,2.6
